"2024-06-29T18:23:47.250Z","37.6667334","-121.7941547","31.5","36.3"
"2024-06-29T18:24:08.929Z","37.6667334","-121.7941547","31.6","36.1"
"2024-06-29T18:24:34.999Z","37.6667334","-121.7941547","32","36.4"
"2024-06-29T18:24:48.796Z","37.6667334","-121.7941547","32.2","35.4"
"2024-06-29T18:25:20.883Z","37.6667334","-121.7941547","31.9","35.8"
"2024-06-29T18:25:35.497Z","37.6667334","-121.7941547","31.5","36.2"
"2024-06-29T18:25:42.482Z","37.6667334","-121.7941547","31.3","36.4"
"2024-06-29T18:25:48.767Z","37.6667334","-121.7941547","31.3","36.5"
"2024-06-29T18:25:56.328Z","37.6576254","-121.8055174","31.3","36.7"
"2024-06-29T18:26:07.908Z","37.6576249","-121.8055141","31.2","36.5"
"2024-06-29T18:26:16.295Z","37.6576251","-121.8055173","31.2","36.7"
"2024-06-29T18:26:30.432Z","37.6599672","-121.8054333","31.2","36.4"
"2024-06-29T18:26:46.539Z","37.6583488","-121.8054767","31.4","36.3"
"2024-06-29T18:27:18.440Z","37.6588138","-121.805485","31.9","35.9"
"2024-06-29T18:27:50.507Z","37.6594615","-121.8051083","32.4","35.3"
"2024-06-29T18:28:07.860Z","37.6601755","-121.804843","32.4","35.8"
"2024-06-29T18:28:45.747Z","37.6610308","-121.804862","32.6","35.1"
"2024-06-29T18:28:59.651Z","37.6607098","-121.8046472","32.5","35.2"
"2024-06-29T18:29:20.146Z","37.6607993","-121.8045491","32","35.6"
"2024-06-29T18:29:29.773Z","37.66085","-121.8045022","31.9","35.8"
"2024-06-29T18:29:36.204Z","37.6608297","-121.8038934","31.8","35.9"
"2024-06-29T18:29:55.652Z","37.6607043","-121.8036148","31.4","36.2"
"2024-06-29T18:30:04.340Z","37.6600229","-121.8033167","31.3","36.6"
"2024-06-29T18:30:10.534Z","37.6601004","-121.8037669","31.3","36.4"
"2024-06-29T18:30:20.387Z","37.6600862","-121.8038111","31.4","36.4"
"2024-06-29T18:30:45.566Z","37.6594334","-121.8044433","31.8","36.8"
"2024-06-29T18:30:55.933Z","37.6594786","-121.8042858","32","36"
"2024-06-29T18:31:07.543Z","37.6596625","-121.8048721","32.2","35.6"
"2024-06-29T18:31:29.996Z","37.6596625","-121.8048721","32.5","35.6"
